timestamp,ir_mean,red_mean,ir_std,red_std,heart_rate,spo2,valid,systolic_bp,diastolic_bp,notes
17075,82211.61,83709.77,637.98,376.54,81.70,95.18,1,131,82,resting
23201,82335.30,83716.21,536.73,327.19,71.49,93.53,1,131,82,resting
35451,83197.70,84558.45,491.76,307.40,72.19,94.60,1,131,82,resting
41576,82918.59,84786.06,370.72,216.43,72.91,95.30,1,131,82,resting
59962,82520.85,84706.00,266.63,135.82,77.68,96.74,1,131,82,resting
66088,82529.55,84664.34,322.40,206.10,78.16,93.74,1,131,82,resting
72214,82619.02,84427.84,422.24,261.03,79.43,94.12,1,131,82,resting
78350,82422.68,84158.04,424.94,233.23,70.46,95.96,1,131,82,resting
84475,82098.40,84184.58,251.82,136.53,79.22,95.81,1,131,82,resting
90601,82971.97,84571.70,644.63,249.23,82.10,99.51,1,131,82,resting
115115,85376.27,84436.78,412.44,258.69,71.34,90.38,1,131,82,resting
121242,84913.63,85718.77,350.40,281.64,79.22,90.68,1,131,82,resting
127368,84661.04,85862.66,326.01,182.12,80.54,97.04,1,131,82,resting
133493,84550.43,85914.23,335.18,206.36,76.22,95.83,1,131,82,resting
139630,84677.35,85813.21,307.89,143.81,84.93,97.60,1,131,82,resting
145757,84498.80,85813.16,291.91,172.50,79.22,96.10,1,131,82,resting
151883,84661.70,85757.88,468.91,153.32,81.36,99.48,1,131,82,resting
158009,84978.78,85053.90,279.31,201.14,71.05,93.54,1,131,82,resting
176396,82034.10,83619.52,218.45,202.74,75.51,86.84,1,131,82,resting
188648,81652.52,82988.18,191.11,257.31,82.61,79.03,0,131,82,resting
194772,82029.89,83779.24,227.30,206.43,88.65,89.41,1,131,82,resting
