timestamp,ir_mean,red_mean,ir_std,red_std,heart_rate,spo2,valid,systolic_bp,diastolic_bp,notes
29341,103441.57,99800.59,125.49,184.05,87.01,77.45,0,125,83,resting
35468,103339.99,99611.02,132.35,113.85,83.06,89.41,1,125,83,resting
41596,103122.61,100148.52,298.50,348.33,79.50,87.26,1,125,83,resting
47733,103939.41,100496.33,271.93,133.53,92.39,96.48,1,125,83,resting
59986,103975.44,99351.05,181.27,121.24,89.59,93.28,1,118,75,resting
66113,104244.75,99076.66,112.94,108.03,86.45,85.32,1,118,75,resting
72240,103832.94,99187.25,201.38,424.35,94.47,0.00,0,118,75,resting
78376,103748.41,99976.77,238.99,137.40,91.20,96.81,1,118,75,resting
84503,103698.28,100424.70,230.88,265.58,92.31,86.24,1,118,75,resting
115145,104683.92,100610.73,247.52,95.30,90.26,99.38,1,124,76,resting
121271,104254.27,100805.88,186.11,91.28,87.09,97.89,1,124,76,resting
127398,104037.02,101299.83,247.30,133.90,83.66,96.28,1,124,76,resting
133524,103884.24,101719.73,193.84,105.66,82.77,94.00,1,124,76,resting
176433,105344.38,101790.90,241.81,162.08,79.42,94.21,1,116,77,resting
182561,104515.50,101705.61,240.38,206.36,91.93,88.76,1,116,77,resting
188688,104637.41,102357.35,214.50,146.97,87.48,93.18,1,116,77,restin
